caldt,spret
20020508,0.037787
20020509,-0.014458
20020510,-0.016818
20020513,0.018695
20020514,0.02127
20020515,-0.00534
20020516,0.006577
20020517,0.007806
20020520,-0.01318
20020521,-0.011087
20020522,0.005715
20020523,0.01019
20020524,-0.012327
20020528,-0.008512
20020529,-0.006341
20020530,-0.002676
20020531,0.00224
20020603,-0.024935
20020604,0.000105
20020605,0.00932
20020606,-0.019821
20020607,-0.001546
20020610,0.003383
20020611,-0.016831
20020612,0.006998
20020613,-0.010477
20020614,-0.002054
20020617,0.028663
20020618,0.000924
20020619,-0.016437
20020620,-0.013501
20020621,-0.01719
20020624,0.00366
20020625,-0.016876
20020626,-0.002134
20020627,0.017571
20020628,-0.001056
20020701,-0.021579
20020702,-0.020978
20020703,0.006182
20020705,0.036595
20020708,-0.011927
20020709,-0.02476
20020710,-0.03339
20020711,0.007639
20020712,-0.006274
20020715,-0.003375
20020716,-0.018342
20020717,0.005471
20020718,-0.027239
20020719,-0.037928
20020722,-0.032725
20020723,-0.026776
20020724,0.057541
20020725,-0.00584
20020726,0.017077
20020729,0.054307
20020730,0.004327
20020731,0.00992
20020801,-0.029658
20020802,-0.022838
20020805,-0.0343
20020806,0.029969
20020807,0.020293
20020808,0.032876
20020809,0.003703
20020812,-0.005184
20020813,-0.021696
20020814,0.040419
20020815,0.011664
20020816,-0.001583
20020819,0.023686
20020820,-0.013976
20020821,0.012921
20020822,0.014268
20020823,-0.022789
20020826,0.007781
20020827,-0.013999
20020828,-0.018013
20020829,-0.000033
20020830,-0.001847
20020903,-0.041685
20020904,0.017929
20020905,-0.015934
20020906,0.016837
20020909,0.010296
20020910,0.007358
20020911,0.000052
20020912,-0.024614
20020913,0.003234
20020916,0.001572
20020917,-0.019903
20020918,-0.004449
20020919,-0.03024
20020920,0.002421
20020923,-0.013856
20020924,-0.017242
20020925,0.025197
20020926,0.018286
20020927,-0.0324
20020930,-0.014676
20021001,0.040142
20021002,-0.023463
20021003,-0.010939
20021004,-0.022356
20021007,-0.018998
20021008,0.017385
20021009,-0.02732
