date,PFE,NKE,C,TM,BIIB,AZN
20120507,0.003128,-0.003488,0.002215,0.000763,0.011758,0.001367
20120508,-0.001336,-0.024143,-0.011051,-0.006608,0.00317,0.000682
20120509,0.011151,-0.005334,-0.027778,0.030447,-0.00316,-0.012503
20120510,0.016926,-0.005455,0.006568,-0.01018,0.013584,-0.002302
20120511,-0.007884,0.006508,-0.042414,0.012291,0.017869,0.002538
20120514,-0.00287,-0.007297,-0.041227,-0.012514,0.00117,-0.013579
20120515,-0.012619,-0.002326,-0.012438,-0.017566,0.001242,-0.010966
20120516,0.015247,-0.002052,-0.031306,-0.020179,-0.001751,-0.003303
20120517,-0.003534,-0.02486,-0.018945,0.006387,-0.028655,-0.014201
20120518,0.000443,0.010543,-0.015146,-0.014894,-0.009783,-0.004562
20120521,-0.001329,0.016976,0.009227,0.008414,0.005168,0.01809
20120522,-0.007542,0.011377,0.025524,0.00678,0.000529,-0.013978
20120523,-0.012517,-0.008575,0.008544,0.000388,-0.006272,-0.013455
20120524,0.002263,-0.000372,-0.018048,-0.000647,0.001141,0.002923
20120525,-0.000452,0.012188,-0.007127,-0.005181,-0.000684,0.001214
20120529,0.002259,0.019579,0.020778,0.003255,-0.000152,-0.00291
20120530,-0.006312,-0.020826,-0.03775,-0.009215,-0.005322,-0.017514
20120531,-0.007713,-0.000645,0.019615,0.007205,-0.000688,0.000495
20120601,-0.010517,-0.033093,-0.042248,-0.027052,-0.030746,-0.008166
20120604,-0.001386,0.000956,-0.02245,-0.00254,0.032037,-0.000499
20120605,-0.000463,0.007736,0.03747,0.005226,0.012539,-0.000749
20120606,0.014352,0.014785,0.053981,0.024797,0.012686,0.021734
20120607,0.001369,0.002709,-0.008475,-0.00052,-0.005742,0.0022
20120608,0.009116,0.011922,0.031958,-0.004165,0.00135,0.007319
20120611,-0.001807,-0.010862,-0.046453,-0.012025,-0.009437,-0.006055
20120612,0.004072,0.001303,0.043051,0.011906,0.01429,0.015107
20120613,0,-0.05,0.00181,-0.004576,0.000522,0.0024
20120614,0.016674,-0.021522,0.008674,-0.001445,0.03308,0.007184
20120615,0.002216,0.017297,0.014332,0.006182,0.009736,-0.006419
20120618,0.000442,-0.00344,-0.026846,0.004575,0.013928,0.008854
20120619,0.003979,0.001381,0.034483,0.000521,0.00796,0.030598
20120620,-0.001761,-0.003348,0.012632,0.006373,-0.001677,0.00069
20120621,-0.003088,-0.025099,-0.03569,-0.014474,-0.025551,-0.01081
20120622,0.005531,0.0075,0.005749,0.007081,0.018247,0.007208
20120625,-0.011221,-0.019517,-0.044302,-0.009245,0.002046,-0.014081
20120626,-0.001558,0.010158,-0.000748,0.00276,-0.000422,0.016156
20120627,0.0078,-0.003453,0.013842,-0.000262,0.008382,0.008064
20120628,-0.003538,-0.012435,-0.026199,0.023073,-0.021305,0.014629
20120629,0.020861,-0.094024,0.038651,0.031266,0.030476,0.00811
20120702,-0.000217,0.01219,0.001824,-0.003728,0.008519,0.020559
20120703,-0.005436,0.018346,0.006919,0.00873,0.000137,0.010291
20120705,-0.008745,0.01901,-0.029295,-0.003215,-0.010369,-0.00997
20120706,-0.005734,-0.008894,-0.017884,-0.005954,-0.011518,-0.008757
20120709,0.00488,-0.012038,-0.009484,-0.009983,0.004914,0.005521
20120710,-0.009271,0.011187,-0.008809,-0.022057,0.004121,-0.004832
20120711,-0.004456,0.010625,-0.000386,-0.002964,-0.012174,0.005959
20120712,0.014772,-0.004769,-0.022806,-0.018743,0.004437,-0.012506
20120713,0.006176,0.023415,0.054193,0.008431,0.013882,0.015552
20120716,0.014029,-0.01011,0.006004,-0.00418,0.004218,0.004375
20120717,0.021185,-0.002795,0.021261,-0.004591,0.004751,0.009148
20120718,0.002117,0.020159,-0.010226,0.007907,-0.006511,0.00777
20120719,0.005281,0.006658,-0.018819,0.00353,-0.008416,0.013922
20120720,-0.003992,-0.022885,-0.027078,-0.021108,-0.010644,-0.010351
20120723,-0.004219,-0.002471,-0.020487,-0.011979,-0.020955,-0.014941
20120724,-0.009534,0.001185,-0.003946,-0.01684,0.001796,-0.007801
20120725,-0.001925,0.005917,0.021791,-0.00644,0.028463,-0.007425
20120726,0.006644,0.032831,0.019,0.022066,0.029976,0.007701
20120727,0.014477,0.004659,0.038813,0.026717,0.011641,0.017031
20120730,-0.004827,-0.012161,-0.005861,-0.008148,-0.014652,0.010305
20120731,0.013918,-0.026082,-0.000368,0.01378,-0.009845,-0.005312
20120801,0.004992,-0.003749,-0.012901,0.002614,-0.010629,0.00705
20120802,-0.000835,-0.004946,-0.022031,0.004172,-0.003327,-0.001273
20120803,0.01505,0.021936,0.0466,0.052317,0.008762,0.024002
20120806,-0.000824,0.010045,0.042336,-0.003824,0.002758,-0.001659
20120807,-0.021434,0.006805,0.011555,0.011641,0.00495,-0.000416
20120808,0.003791,-0.002807,-0.001038,-0.009181,-0.00773,-0.000416
20120809,0.001679,-0.008759,0,0.00766,-0.013513,-0.007629
20120810,0.002933,-0.005891,0.001386,-0.000858,0.016878,0.007047
20120813,-0.00919,0.014286,-0.004152,-0.006136,-0.006632,-0.00106
20120814,0.010961,-0.009807,-0.000347,-0.008026,0.006642,0.004245
20120815,0.002502,-0.00727,-0.001043,-0.001618,0.009416,0.005707
20120816,-0.000832,0.005944,0.002784,0.026181,-0.000204,0.002522
20120817,-0.009575,0.015615,0.007287,0.003159,-0.011918,-0.008805
20120820,0.005044,-0.00509,0.032725,-0.0109,-0.002757,-0.004019
20120821,-0.009201,0.000835,0.025017,0.002816,-0.004976,-0.002973
20120822,0.000422,-0.000835,-0.00781,0.006838,0.006599,-0.001491
20120823,0.001688,-0.003341,-0.029682,-0.004851,0.001587,0.002346
20120824,0.011373,0.014772,0.008281,0.005118,0.012952,0.006171
20120827,-0.004998,-0.004439,-0.004693,-0.010791,0.002448,-0.001058
20120828,-0.001674,0.025303,-0.011788,-0.008579,-0.006513,-0.005081
20120829,0.004612,-0.001821,0.019427,0.00136,-0.003688,0.000213
20120830,-0.005008,-0.005877,-0.008693,-0.009506,0.000411,0
20120831,0.000839,-0.00399,0.002024,-0.007603,0.004385,-0.004468
20120904,-0.003562,-0.001027,-0.000337,-0.011178,0.003275,-0.009617
20120905,0.006099,0.000925,0.002357,-0.003683,-0.00272,0.004963
20120906,0.017559,0.021674,0.045348,0.023967,0.037636,0.009019
20120907,-0.004108,-0.001709,0.030527,0.016808,0.002037,-0.004256
20120910,-0.005776,0.007554,-0.007484,0.000245,-0.005902,-0.005129
20120911,0.002905,-0.003599,0.026076,-0.004774,0.002309,0.007089
20120912,-0.004137,0.011637,0.011941,0.009471,0.00204,0
20120913,0.007478,-0.016263,0.04236,0.010601,0.001576,0.009812
20120914,-0.018557,-0.025806,0.009869,0.002894,0.01141,-0.008027
20120917,0.009244,0.013762,-0.020983,-0.021279,0.001102,-0.000426
20120918,-0.000416,-0.002552,-0.003523,0.000123,0.009002,0.010652
20120919,0.006247,-0.000614,0.007071,0.009334,-0.004878,0.014123
20120920,0.010348,-0.009625,-0.010825,-0.00292,0.006579,-0.003118
20120921,0.004301,-0.002068,-0.004141,-0.00537,-0.009516,0
20120924,0.009586,-0.012433,-0.005346,-0.01227,-0.001132,0.004796
20120925,0.003636,-0.002518,-0.018812,0.008815,-0.010168,-0.003735
20120926,-0.000403,0.004312,-0.010651,-0.02249,-0.00795,-0.003124
