Date,NDAQ,BLV,AMGN, CVX
7/19/2010,0.057921626,-0.000486391,0.011117567,0.028251743
7/26/2010,0.045088553,0.012531908,0.033744025,0.036588693
8/2/2010,0.038007205,0.00170125,0.025857325,0.033066524
8/9/2010,-0.013359704,0.016983858,-0.016446117,-0.016893126
8/16/2010,-0.021564738,0.02262226,-0.04870958,-0.021293824
8/23/2010,-0.049718046,-0.007296762,-0.004967495,-0.001598999
8/30/2010,0.035059314,-0.011716576,0.015936951,0.040971664
9/7/2010,-0.011985455,-0.00485787,0.027216062,0.010512799
9/13/2010,0.024789065,-0.004881462,0.016007415,-0.004567435
9/20/2010,0.038085449,0.013519992,0.019920274,0.021157302
9/27/2010,-0.043133398,0.007812787,-0.014382144,0.022840703
10/4/2010,0.030051763,0.003762485,0.01585302,0.024283136
10/11/2010,0.001509099,-0.02659015,0.005674791,-0.003931392
10/18/2010,0.037669525,0.01022859,0.014812163,0.011242699
10/25/2010,0.021781257,-0.00488374,-0.006255419,-0.023063286
11/1/2010,0.05163432,-0.006935374,-0.030949453,0.028813579
11/8/2010,-0.031081104,-0.021302345,-0.017141764,0.005413069
11/15/2010,0.020920488,0.002473367,0.009730044,-0.009149333
11/22/2010,-0.02049179,0.003454205,-0.026181772,-0.022515987
11/29/2010,0.052068772,-0.014122442,0.003174019,0.034612963
12/6/2010,0.009279714,-0.011645405,0.002977815,0.025209094
12/13/2010,0.028896658,0.001013611,0.06550375,0.016775831
12/20/2010,0.013616994,0.003037528,-0.012364965,0.024748516
12/27/2010,-0.003778318,0.010786469,-0.031916737,0.006285838
1/3/2011,-0.014749273,-0.008092082,0.037887034,-0.000657443
1/10/2011,0.042343931,-0.002294427,-0.008424,0.017984366
1/18/2011,-0.002872412,-0.003194062,0.008318609,0.010233782
1/24/2011,0.008230496,0.004614208,-0.029489202,-0.004371963
1/31/2011,0.084081614,-0.021198956,-0.001627847,0.040055688
2/7/2011,0.058734985,0.005367249,-0.026449201,-0.006796431
2/14/2011,0.034495024,0.002473845,-0.027912233,0.03123373
2/22/2011,-0.023375786,0.021561302,0.000382838,0.034238227
2/28/2011,-0.013727562,-0.006722151,0.001148159,0.016160625
3/7/2011,-0.029621617,0.005397112,0.023126882,-0.036819274
3/14/2011,-0.088267774,0.01099181,-0.011021886,0.028720168
3/21/2011,0.020572744,-0.008849553,0.003966806,0.038715913
3/28/2011,0.115810289,0.003814578,-0.001317003,0.014422192
4/4/2011,0.007793161,-0.01518632,0.015448347,0.012370799
4/11/2011,-0.008435919,0.022158865,0.029870071,-0.031187361
4/18/2011,-0.023750355,0.001267809,-0.032786878,0.017789868
4/25/2011,-0.015250578,0.013547761,0.058856412,0.012115094
5/2/2011,-0.019542747,0.013271072,0.013720324,-0.059941595
5/9/2011,0.012034575,0.001609274,0.04927995,-0.004762752
5/16/2011,-0.052396874,0.006426907,0.00644941,0.009504275
5/23/2011,-0.005098012,0.005649061,-0.024811051,0.006239642
5/31/2011,-0.048876696,-0.001345925,-0.011120477,-0.021412667
6/6/2011,-0.013675893,0.00724286,-0.011926988,-0.013168293
6/13/2011,-0.001260542,-0.00292511,0.000344803,-0.005016608
6/20/2011,-0.015986542,0.001100217,-0.016721187,-0.012806268
6/27/2011,0.116716606,-0.02387135,0.021739061,0.063227759
