,Mkt-RF,RF
19800822,0.61,0.159
19800829,-2.42,0.159
19800905,2.18,0.188
19800912,0.72,0.188
19800919,2.73,0.188
19800926,-2.51,0.188
19801003,2.16,0.237
19801010,0.86,0.237
19801017,0.46,0.237
19801024,-1.45,0.237
19801031,-2.06,0.237
19801107,1.07,0.238
19801114,5.93,0.238
19801121,1.44,0.238
19801128,0.86,0.238
19801205,-4.6,0.325
19801212,-4.31,0.325
19801219,3.34,0.325
19801226,1.69,0.325
19810102,-0.03,0.258
19810109,-2.68,0.258
19810116,0.95,0.258
19810123,-3.37,0.258
19810130,-0.54,0.258
19810206,0.74,0.266
19810213,-2.79,0.266
19810220,-0.84,0.266
19810227,3.59,0.266
19810306,-0.81,0.301
19810313,2.17,0.301
19810320,0.89,0.301
19810327,0.45,0.301
19810403,0.66,0.268
19810410,-0.44,0.268
19810416,-0.23,0.268
19810424,0.18,0.268
19810501,-1.87,0.287
19810508,-0.77,0.287
19810515,0.35,0.287
19810522,-0.18,0.287
19810529,0.84,0.287
19810605,-0.76,0.335
19810612,0.82,0.335
19810619,-1.3,0.335
19810626,0.01,0.335
19810702,-3.3,0.309
19810710,0.01,0.309
19810717,0.79,0.309
19810724,-2.09,0.309
19810731,1.58,0.309
19810807,0.76,0.319
19810814,0.29,0.319
19810821,-2.82,0.319
19810828,-4.27,0.319
19810904,-3.69,0.31
19810911,0.82,0.31
19810918,-4.56,0.31
19810925,-3.98,0.31
19811002,5.79,0.3
19811009,2.07,0.3
19811016,-1.85,0.3
19811023,-0.59,0.3
19811030,2.46,0.3
19811106,1.23,0.266
19811113,-0.9,0.266
19811120,0.03,0.266
19811127,2.11,0.266
19811204,0.5,0.218
19811211,-1.24,0.218
19811218,-0.92,0.218
19811224,-1.1,0.218
19811231,-0.24,0.218
19820108,-2.49,0.198
19820115,-3.07,0.198
19820122,-1.06,0.198
19820129,3.45,0.198
19820205,-1.88,0.23
19820212,-2.68,0.23
19820219,-1.09,0.23
19820226,-0.28,0.23
19820305,-3.43,0.244
19820312,-1.37,0.244
19820319,1.66,0.244
19820326,1.39,0.244
19820402,2.31,0.281
19820408,0.84,0.281
19820416,0.39,0.281
19820423,1.22,0.281
19820430,-1.84,0.281
19820507,2.52,0.264
19820514,-1.03,0.264
19820521,-2.91,0.264
19820528,-2.47,0.264
19820604,-1.88,0.238
19820611,0.59,0.238
19820618,-3.64,0.238
19820625,1.42,0.238
19820702,-1.21,0.262
19820709,0.4,0.262
19820716,1.6,0.262
19820723,-0.04,0.262
19820730,-3.64,0.262
19820806,-2.75,0.19
19820813,-0.53,0.19
19820820,8.1,0.19
19820827,4.35,0.19
19820903,4.34,0.128
19820910,-1.04,0.128
19820917,1.34,0.128
19820924,0.63,0.128
19821001,-1.04,0.147
19821008,7,0.147
19821015,2.03,0.147
19821022,3.97,0.147
19821029,-3.1,0.147
19821105,6.49,0.158
19821112,-0.94,0.158
19821119,-1.72,0.158
19821126,-1.39,0.158
19821203,2.57,0.168
19821210,0.14,0.168
19821217,-1.85,0.168
19821223,1.32,0.168
19821231,0.63,0.168
19830107,3.08,0.171
19830114,1.3,0.171
19830121,-1.76,0.171
19830128,0.36,0.171
19830204,1.43,0.154
19830211,1.09,0.154
19830218,0.51,0.154
19830225,1.11,0.154
19830304,2.32,0.158
19830311,-1.32,0.158
19830318,-1.02,0.158
19830325,1.8,0.158
19830331,-0.05,0.158
19830408,-0.43,0.178
19830415,3.81,0.178
19830422,1.07,0.178
19830429,2.07,0.178
19830506,1.55,0.172
19830513,-0.28,0.172
19830520,-1.33,0.172
19830527,1.81,0.172
19830603,-0.06,0.166
19830610,-0.6,0.166
19830617,3.5,0.166
19830624,0.73,0.166
19830701,-1.24,0.185
19830708,-1.11,0.185
19830715,-1.95,0.185
19830722,2.41,0.185
19830729,-3.97,0.185
19830805,-1.03,0.19
19830812,0.16,0.19
19830819,0.7,0.19
19830826,-1.57,0.19
19830902,1.73,0.19
19830909,1.32,0.19
19830916,-0.81,0.19
19830923,1.89,0.19
19830930,-2.1,0.19
19831007,2.2,0.19
19831014,-1.12,0.19
19831021,-2.84,0.19
19831028,-1.58,0.19
19831104,-0.56,0.175
19831111,1.97,0.175
19831118,-0.13,0.175
19831125,1.08,0.175
19831202,-1,0.181
19831209,-0.48,0.181
19831216,-1.8,0.181
19831223,0.19,0.181
19831230,0.85,0.181
19840106,2.65,0.189
19840113,-1.17,0.189
19840120,-0.87,0.189
19840127,-1.91,0.189
19840203,-2.26,0.178
19840210,-3.27,0.178
19840217,-0.68,0.178
19840224,0.65,0.178
19840302,1.3,0.182
19840309,-3.04,0.182
19840316,2.79,0.182
19840323,-1.68,0.182
19840330,1.25,0.182
19840406,-2.63,0.203
19840413,0.8,0.203
19840419,0.28,0.203
19840427,0.97,0.203
19840504,0.11,0.195
19840511,-0.46,0.195
19840518,-2.12,0.195
19840525,-2.96,0.195
19840601,0.95,0.188
19840608,1.25,0.188
19840615,-3.3,0.188
19840622,3.01,0.188
19840629,-0.73,0.188
19840706,-0.78,0.204
19840713,-1.11,0.204
19840720,-1.33,0.204
19840727,0.62,0.204
19840803,7.19,0.207
19840810,2.07,0.207
19840817,-0.9,0.207
19840824,1.71,0.207
19840831,-0.41,0.207
19840907,-1.25,0.214
19840914,2.24,0.214
19840921,-1.55,0.214
19840928,-0.2,0.214
19841005,-2.18,0.248
19841012,0.69,0.248
19841019,2.06,0.248
19841026,-1.79,0.248
19841102,1.1,0.183
19841109,0.22,0.183
19841116,-2.09,0.183
19841123,1.12,0.183
19841130,-1.81,0.183
19841207,-0.99,0.16
19841214,0.25,0.16
19841221,1.8,0.16
19841228,0.29,0.16
19850104,-1.26,0.161
19850111,2.46,0.161
19850118,2.26,0.161
19850125,3.4,0.161
19850201,0.83,0.144
19850208,2.42,0.144
19850215,-0.23,0.144
19850222,-1.08,0.144
19850301,1.63,0.154
19850308,-2.1,0.154
19850315,-1.38,0.154
19850322,0.81,0.154
19850329,0.81,0.154
19850404,-0.96,0.179
19850412,0.76,0.179
19850419,0.19,0.179
19850426,0.35,0.179
19850503,-1.31,0.165
19850510,2.48,0.165
19850517,1.57,0.165
19850524,0.36,0.165
19850531,0.45,0.165
19850607,0.31,0.138
19850614,-1.34,0.138
19850621,0.89,0.138
19850628,1.43,0.138
19850705,0.45,0.156
19850712,0.43,0.156
19850719,0.92,0.156
19850726,-1.73,0.156
19850802,-0.42,0.137
19850809,-1.56,0.137
19850816,-1.07,0.137
19850823,0.36,0.137
19850830,0.77,0.137
19850906,-0.42,0.151
19850913,-3.05,0.151
19850920,-0.56,0.151
19850926,-0.83,0.151
19851004,0.8,0.162
19851011,0.52,0.162
19851018,1.52,0.162
19851025,0.14,0.162
19851101,1.87,0.152
19851108,1.54,0.152
19851115,2.08,0.152
19851122,1.59,0.152
19851129,0.34,0.152
19851206,0.35,0.162
19851213,3.19,0.162
19851220,0.11,0.162
19851227,-0.57,0.162
19860103,0.59,0.139
19860110,-2.05,0.139
19860117,1.36,0.139
19860124,-0.82,0.139
19860131,2.26,0.139
19860207,1.51,0.132
19860214,2.31,0.132
19860221,2.02,0.132
19860228,1.09,0.132
19860307,-0.19,0.149
19860314,4.03,0.149
19860321,-0.9,0.149
19860327,1.8,0.149
19860404,-3.5,0.13
19860411,2.68,0.13
19860418,2.65,0.13
19860425,-0.27,0.13
19860502,-2.94,0.123
19860509,1.36,0.123
19860516,-1.85,0.123
19860523,3.1,0.123
19860530,2.2,0.123
19860606,-0.7,0.131
19860613,-0.03,0.131
19860620,0.07,0.131
19860627,1.17,0.131
19860703,1.08,0.13
19860711,-3.9,0.13
19860718,-2.47,0.13
19860725,1.17,0.13
19860801,-2.36,0.115
19860808,0.48,0.115
19860815,4.14,0.115
19860822,0.95,0.115
19860829,0.82,0.115
19860905,-1.18,0.112
19860912,-7.95,0.112
19860919,0.46,0.112
19860926,0.38,0.112
19861003,0.5,0.116
19861010,0.54,0.116
19861017,1.11,0.116
19861024,-0.1,0.116
19861031,2.08,0.116
19861107,0.77,0.097
19861114,-0.68,0.097
19861121,-0.05,0.097
19861128,1.13,0.097
19861205,0.78,0.122
19861212,-1.68,0.122
19861219,0.31,0.122
19861226,-0.94,0.122
19870102,-0.06,0.104
19870109,5.51,0.104
19870116,2.43,0.104
19870123,1.06,0.104
19870130,1.09,0.104
19870206,2.66,0.108
19870213,0.03,0.108
19870220,1.74,0.108
19870227,-0.08,0.108
19870306,1.81,0.117
19870313,-0.07,0.117
19870320,2.12,0.117
19870327,-0.65,0.117
19870403,0.77,0.111
19870410,-2.54,0.111
19870416,-2.08,0.111
19870424,-1.87,0.111
19870501,1.92,0.094
19870508,1.63,0.094
19870515,-1.92,0.094
19870522,-2.18,0.094
19870529,2.77,0.094
19870605,1.03,0.12
19870612,2.44,0.12
19870619,1.39,0.12
19870626,-0.04,0.12
19870702,-0.64,0.114
19870710,0.68,0.114
19870717,1.69,0.114
19870724,-1.65,0.114
19870731,2.68,0.114
19870807,1.5,0.118
19870814,3,0.118
19870821,0.48,0.118
19870828,-2.17,0.118
19870904,-2.88,0.113
19870911,1.17,0.113
19870918,-2.04,0.113
19870925,1.29,0.113
19871002,2.31,0.149
19871009,-4.68,0.149
19871016,-8.82,0.149
19871023,-13.86,0.149
19871030,0.83,0.149
19871106,-0.28,0.086
19871113,-1.69,0.086
19871120,-1.79,0.086
19871127,-0.21,0.086
19871204,-7.06,0.098
19871211,4.47,0.098
19871218,6.02,0.098
19871224,1.31,0.098
19871231,-1.76,0.098
19880108,-0.32,0.073
19880115,2.6,0.073
19880122,-1.74,0.073
19880129,3.7,0.073
19880205,-1.42,0.114
19880212,2.29,0.114
19880219,1.32,0.114
19880226,0.71,0.114
19880304,1.98,0.11
19880311,-0.65,0.11
19880318,2.02,0.11
19880325,-3.84,0.11
19880331,-0.01,0.11
19880408,3.33,0.115
19880415,-3.26,0.115
19880422,-0.08,0.115
19880429,0.67,0.115
19880506,-1.14,0.126
19880513,-0.6,0.126
19880520,-1.47,0.126
19880527,0.26,0.126
19880603,4.41,0.121
19880610,1.84,0.121
19880617,-0.15,0.121
19880624,1.19,0.121
19880701,-0.32,0.127
19880708,-0.63,0.127
19880715,0.34,0.127
19880722,-2.84,0.127
19880729,2.3,0.127
19880805,-0.08,0.148
19880812,-2.99,0.148
19880819,-0.65,0.148
19880826,-0.42,0.148
19880902,1.5,0.154
19880909,0.94,0.154
19880916,1.02,0.154
19880923,-0.21,0.154
19880930,0.68,0.154
19881007,1.59,0.152
19881014,-0.92,0.152
19881021,2.14,0.152
19881028,-1.72,0.152
19881104,-0.59,0.141
19881111,-2.8,0.141
19881118,-0.95,0.141
19881125,0.06,0.141
19881202,1.67,0.158
19881209,1.46,0.158
19881216,-0.4,0.158
19881223,0.53,0.158
19881230,0.21,0.158
19890106,0.94,0.138
19890113,0.84,0.138
19890120,0.86,0.138
19890127,2.15,0.138
19890203,1.2,0.153
19890210,-1.31,0.153
19890217,1.46,0.153
19890224,-2.83,0.153
19890303,1.21,0.167
19890310,0.51,0.167
19890317,-0.39,0.167
19890323,-1.24,0.167
19890331,1.76,0.167
19890407,0.77,0.168
19890414,1.15,0.168
19890421,2.08,0.168
19890428,0.26,0.168
19890505,-0.42,0.196
19890512,1.57,0.196
19890519,2.06,0.196
19890526,0.25,0.196
19890602,1.17,0.177
19890609,0.35,0.177
19890616,-1.72,0.177
19890623,1.46,0.177
19890630,-2.86,0.177
19890707,1.89,0.173
19890714,1.75,0.173
19890721,0.8,0.173
19890728,1.54,0.173
19890804,0.61,0.184
19890811,0.41,0.184
19890818,0.03,0.184
19890825,1.08,0.184
19890901,0.76,0.163
19890908,-1.19,0.163
19890915,-1.29,0.163
19890922,0.46,0.163
19890929,0.65,0.163
19891006,2.47,0.169
19891013,-6.49,0.169
19891020,2.94,0.169
19891027,-3.6,0.169
19891103,0.7,0.171
19891110,0.32,0.171
19891117,0.56,0.171
19891124,0.32,0.171
19891201,1.41,0.151
19891208,-0.52,0.151
19891215,-0.24,0.151
19891222,-0.78,0.151
19891229,1.62,0.151
19900105,-0.23,0.141
19900112,-3.56,0.141
19900119,-0.47,0.141
19900126,-4.21,0.141
19900202,1.22,0.142
19900209,1.06,0.142
19900216,-0.32,0.142
19900223,-2.48,0.142
19900302,3.16,0.161
19900309,0.77,0.161
19900316,0.83,0.161
19900323,-1.41,0.161
19900330,0.51,0.161
19900406,-0.25,0.171
19900412,1.05,0.171
19900420,-2.69,0.171
19900427,-1.92,0.171
19900504,2.48,0.169
19900511,3.46,0.169
19900518,0.86,0.169
19900525,0.26,0.169
19900601,2,0.156
19900608,-1,0.156
19900615,0.86,0.156
19900622,-1.94,0.156
19900629,0.46,0.156
19900706,-0.05,0.169
19900713,2.04,0.169
19900720,-1.76,0.169
19900727,-2.48,0.169
19900803,-2.93,0.164
19900810,-2.65,0.164
19900817,-2.59,0.164
19900824,-5.45,0.164
19900831,3.55,0.164
19900907,0.14,0.149
19900914,-1.98,0.149
19900921,-2.11,0.149
19900928,-2.27,0.149
19901005,1.44,0.17
19901012,-4.11,0.17
19901019,3.44,0.17
19901026,-2.13,0.17
19901102,1.86,0.141
19901109,0.87,0.141
19901116,1.41,0.141
19901123,-0.73,0.141
19901130,2.24,0.141
19901207,1.98,0.149
19901214,-0.36,0.149
19901221,1.22,0.149
19901228,-0.84,0.149
19910104,-2.04,0.129
19910111,-1.93,0.129
19910118,4.68,0.129
19910125,1.7,0.129
19910201,2.7,0.119
19910208,4.69,0.119
19910215,2.66,0.119
19910222,-0.74,0.119
19910301,1.36,0.11
19910308,1.56,0.11
19910315,-0.72,0.11
19910322,-1.3,0.11
19910328,2.23,0.11
19910405,0.52,0.133
19910412,1.06,0.133
19910419,0.8,0.133
19910426,-1.53,0.133
19910503,0.28,0.118
19910510,-1.04,0.118
19910517,-1.23,0.118
19910524,1.45,0.118
19910531,3,0.118
19910607,-2.21,0.104
19910614,0.33,0.104
19910621,-1.33,0.104
19910628,-1.79,0.104
19910705,0.64,0.122
19910712,1.74,0.122
19910719,0.99,0.122
19910726,-0.99,0.122
19910802,1.7,0.115
19910809,0.17,0.115
19910816,-0.2,0.115
19910823,1.85,0.115
19910830,0.48,0.115
19910906,-1.7,0.114
19910913,-1.27,0.114
19910920,1.3,0.114
19910927,-0.45,0.114
19911004,-1.06,0.106
19911011,-0.28,0.106
19911018,2.99,0.106
19911025,-2.19,0.106
19911101,2.07,0.098
19911108,0.6,0.098
19911115,-2.55,0.098
19911122,-1.74,0.098
19911129,-0.25,0.098
19911206,1.14,0.095
19911213,1.09,0.095
19911220,0.35,0.095
19911227,5.18,0.095
19920103,3.12,0.085
19920110,0.02,0.085
19920117,0.93,0.085
19920124,-0.74,0.085
19920131,-1.26,0.085
19920207,0.96,0.071
19920214,0.31,0.071
19920221,-0.47,0.071
19920228,0.29,0.071
19920306,-2.06,0.084
19920313,0.28,0.084
19920320,1.11,0.084
19920327,-1.91,0.084
19920403,-1.06,0.081
19920410,0.31,0.081
19920416,2.35,0.081
19920424,-1.95,0.081
19920501,0.91,0.069
19920508,1.01,0.069
19920515,-1.43,0.069
19920522,0.8,0.069
19920529,0.39,0.069
19920605,-0.46,0.08
19920612,-1.3,0.08
19920619,-1.85,0.08
19920626,-0.24,0.08
19920702,2.23,0.077
19920710,0.62,0.077
19920717,0.21,0.077
19920724,-0.83,0.077
19920731,2.95,0.077
19920807,-0.99,0.065
19920814,0.09,0.065
19920821,-1.2,0.065
19920828,-0.19,0.065
19920904,0.75,0.064
19920911,0.67,0.064
19920918,0.7,0.064
19920925,-1.88,0.064
19921002,-0.94,0.057
19921009,-1.46,0.057
19921016,1.99,0.057
19921023,0.95,0.057
19921030,1.29,0.057
19921106,0.28,0.059
19921113,1.47,0.059
19921120,1,0.059
19921127,0.96,0.059
19921204,0.64,0.07
19921211,0.18,0.07
19921218,1.24,0.07
19921224,-0.11,0.07
19921231,-0.11,0.07
19930108,-1.52,0.058
19930115,2.01,0.058
19930122,0.15,0.058
19930129,0.31,0.058
19930205,2.16,0.055
19930212,-0.98,0.055
19930219,-2.89,0.055
19930226,1.92,0.055
19930305,0.93,0.063
19930312,1.03,0.063
19930319,-0.32,0.063
19930326,-0.37,0.063
19930402,-1.41,0.059
19930408,-0.25,0.059
19930416,1.38,0.059
19930423,-2.38,0.059
19930430,0.58,0.059
19930507,1,0.054
19930514,-0.66,0.054
19930521,1.53,0.054
19930528,1,0.054
19930604,-0.02,0.063
19930611,-0.93,0.063
19930618,-0.59,0.063
19930625,0.86,0.063
19930702,0.26,0.06
19930709,0.4,0.06
19930716,-0.39,0.06
19930723,-0.09,0.06
19930730,0.4,0.06
19930806,0.44,0.063
19930813,0.32,0.063
19930820,1.4,0.063
19930827,0.76,0.063
19930903,0.61,0.064
19930910,-0.21,0.064
19930917,-0.56,0.064
19930924,0.19,0.064
19931001,0.89,0.055
19931008,-0.23,0.055
19931015,1.98,0.055
19931022,-1.55,0.055
19931029,0.88,0.055
19931105,-1.97,0.062
19931112,1.48,0.062
19931119,-1.3,0.062
19931126,0.18,0.062
19931203,0.68,0.057
19931210,-0.25,0.057
19931217,0.24,0.057
19931223,0.09,0.057
19931231,0.57,0.057
19940107,0.41,0.063
19940114,1.05,0.063
19940121,-0.07,0.063
19940128,0.88,0.063
19940204,-1.82,0.053
19940211,0.19,0.053
19940218,-0.29,0.053
19940225,-0.42,0.053
19940304,-0.06,0.067
19940311,0.3,0.067
19940318,1.23,0.067
19940325,-2.04,0.067
19940331,-3.9,0.067
19940408,0.57,0.068
19940415,-0.75,0.068
19940422,-0.09,0.068
19940429,0.95,0.068
19940506,-0.67,0.079
19940513,-1.31,0.079
19940520,2.16,0.079
19940527,0.66,0.079
19940603,0.7,0.078
19940610,-0.43,0.078
19940617,-0.17,0.078
19940624,-3.79,0.078
19940701,0.92,0.069
19940708,0.58,0.069
19940715,1.21,0.069
19940722,-0.39,0.069
19940729,0.95,0.069
19940805,-0.21,0.092
19940812,1.13,0.092
19940819,0.51,0.092
19940826,2.06,0.092
19940902,-0.39,0.091
19940909,-0.48,0.091
19940916,0.73,0.091
19940923,-2.54,0.091
19940930,0.79,0.091
19941007,-1.75,0.096
19941014,2.56,0.096
19941021,-0.86,0.096
19941028,1.61,0.096
19941104,-1.87,0.092
19941111,-0.32,0.092
19941118,-0.33,0.092
19941125,-2.15,0.092
19941202,0.03,0.111
19941209,-1.89,0.111
19941216,2.44,0.111
19941223,0.51,0.111
19941230,0.16,0.111
19950106,0.17,0.104
19950113,1.07,0.104
19950120,-0.22,0.104
19950127,0.79,0.104
19950203,1.76,0.099
19950210,0.83,0.099
19950217,-0.03,0.099
19950224,0.95,0.099
19950303,-0.33,0.115
19950310,0.47,0.115
19950317,0.95,0.115
19950324,0.9,0.115
19950331,0.09,0.115
19950407,0.71,0.111
19950413,0.73,0.111
19950421,-0.49,0.111
19950428,1.15,0.111
19950505,0.68,0.134
19950512,1.28,0.134
19950519,-1.06,0.134
19950526,0.68,0.134
19950602,1.36,0.118
19950609,-0.58,0.118
19950616,2.16,0.118
19950623,1.78,0.118
19950630,-0.83,0.118
19950707,2.21,0.113
19950714,0.84,0.113
19950721,-1.41,0.113
19950728,2.14,0.113
19950804,-0.8,0.116
19950811,-0.32,0.116
19950818,1.16,0.116
19950825,0,0.116
19950901,0.64,0.108
19950908,1.91,0.108
19950915,1.31,0.108
19950922,-0.35,0.108
19950929,0.15,0.108
19951006,-0.98,0.118
19951013,0.42,0.118
19951020,0.34,0.118
19951027,-1.66,0.118
19951103,2.23,0.105
19951110,0.25,0.105
19951117,0.71,0.105
19951124,-0.3,0.105
19951201,1.46,0.122
19951208,1.14,0.122
19951215,-0.7,0.122
19951222,-0.34,0.122
19951229,0.78,0.122
19960105,-0.48,0.107
19960112,-2.32,0.107
19960119,1.28,0.107
19960126,1.67,0.107
19960202,2.27,0.098
19960209,2.7,0.098
19960216,-0.82,0.098
19960223,1.61,0.098
19960301,-2.02,0.098
19960308,-1.55,0.098
19960315,1.42,0.098
19960322,1.14,0.098
19960329,-0.52,0.098
19960404,1.4,0.114
19960412,-2.7,0.114
19960419,1.49,0.114
19960426,1.79,0.114
19960503,-1.38,0.106
19960510,1.37,0.106
19960517,2.62,0.106
19960524,1.12,0.106
19960531,-1.27,0.106
19960607,0.17,0.1
19960614,-1.05,0.1
19960621,-0.86,0.1
19960628,0.58,0.1
19960705,-1.98,0.112
19960712,-2.62,0.112
19960719,-1.07,0.112
19960726,-0.87,0.112
19960802,3.88,0.103
19960809,-0.06,0.103
19960816,0.61,0.103
19960823,0.3,0.103
19960830,-1.54,0.103
19960906,0.28,0.109
19960913,3.4,0.109
19960920,0.86,0.109
19960927,0.19,0.109
19961004,1.88,0.106
19961011,-0.33,0.106
19961018,0.94,0.106
19961025,-1.66,0.106
19961101,0.04,0.102
19961108,3.32,0.102
19961115,0.78,0.102
19961122,1.12,0.102
19961129,1.06,0.102
19961206,-1.83,0.115
19961213,-1.44,0.115
19961220,2.02,0.115
19961227,0.83,0.115
19970103,-0.69,0.112
19970110,1.52,0.112
19970117,1.79,0.112
19970124,-0.57,0.112
19970131,1.48,0.112
19970207,0.02,0.096
19970214,1.99,0.096
19970221,-1.05,0.096
19970228,-1.41,0.096
19970307,1.64,0.107
19970314,-1.54,0.107
19970321,-1.63,0.107
19970327,-1.31,0.107
19970404,-2.16,0.108
19970411,-2.31,0.108
19970418,2.88,0.108
19970425,-0.82,0.108
19970502,6.1,0.123
19970509,1.57,0.123
19970516,0.63,0.123
19970523,2.05,0.123
19970530,0.42,0.123
19970606,1.18,0.092
19970613,3.34,0.092
19970620,0.7,0.092
19970627,-1.06,0.092
19970703,2.82,0.107
19970711,0.38,0.107
19970718,0.13,0.107
19970725,2.05,0.107
19970801,1,0.103
19970808,-1.22,0.103
19970815,-2.82,0.103
19970822,2.04,0.103
19970829,-1.56,0.103
19970905,2.91,0.111
19970912,-0.09,0.111
19970919,2.51,0.111
19970926,-0.4,0.111
19971003,1.96,0.105
19971010,0.47,0.105
19971017,-2.56,0.105
19971024,-0.26,0.105
19971031,-3.14,0.105
19971107,1.07,0.098
19971114,-0.41,0.098
19971121,3.15,0.098
19971128,-0.82,0.098
19971205,2.76,0.119
19971212,-3.35,0.119
19971219,-0.67,0.119
19971226,-0.93,0.119
19980102,3.81,0.107
19980109,-4.93,0.107
19980116,3.37,0.107
19980123,-0.43,0.107
19980130,2.11,0.107
19980206,3.32,0.098
19980213,0.99,0.098
19980220,1.09,0.098
19980227,1.46,0.098
19980306,0.55,0.099
19980313,1.29,0.099
19980320,2.44,0.099
19980327,-0.2,0.099
19980403,2.19,0.107
19980409,-1.07,0.107
19980417,1.24,0.107
19980424,-1.42,0.107
19980501,0.94,0.101
19980508,-1.04,0.101
19980515,-0.41,0.101
19980522,-0.5,0.101
19980529,-1.75,0.101
19980605,1.5,0.102
19980612,-1.57,0.102
19980619,0.09,0.102
19980626,2.82,0.102
19980702,1.25,0.1
19980710,1.37,0.1
19980717,1.7,0.1
19980724,-4.17,0.1
19980731,-2.2,0.1
19980807,-2.53,0.107
19980814,-2.55,0.107
19980821,0.79,0.107
19980828,-6.03,0.107
19980904,-5.21,0.114
19980911,3.13,0.114
19980918,1.62,0.114
19980925,2.1,0.114
19981002,-4.25,0.081
19981009,-3.35,0.081
19981016,7.61,0.081
19981023,1.96,0.081
19981030,2.95,0.081
19981106,4.21,0.077
19981113,-1.42,0.077
19981120,3.06,0.077
19981127,2.52,0.077
19981204,-1.34,0.094
19981211,-1.08,0.094
19981218,1.62,0.094
19981224,3.21,0.094
19981231,1.21,0.094
19990108,3.42,0.088
19990115,-2.31,0.088
19990122,-1.46,0.088
19990129,3.95,0.088
19990205,-3.19,0.089
19990212,-1.22,0.089
19990219,0.33,0.089
19990226,-0.01,0.089
19990305,2.68,0.106
19990312,1.35,0.106
19990319,0.16,0.106
19990326,-1.23,0.106
19990401,0.99,0.093
19990409,3.76,0.093
19990416,-1.53,0.093
19990423,2.84,0.093
19990430,-1.27,0.093
19990507,0.35,0.085
19990514,-0.13,0.085
19990521,-0.37,0.085
19990528,-2.28,0.085
19990604,1.44,0.099
19990611,-2.38,0.099
19990618,3.25,0.099
19990625,-1.82,0.099
19990702,5.73,0.095
19990709,0.68,0.095
19990716,1.13,0.095
19990723,-4.36,0.095
19990730,-2.21,0.095
19990806,-2.87,0.097
19990813,2.1,0.097
19990820,0.56,0.097
19990827,0.94,0.097
19990903,0.74,0.097
19990910,-0.17,0.097
19990917,-1.44,0.097
19990924,-4.15,0.097
19991001,0.13,0.097
19991008,4.06,0.097
19991015,-6.1,0.097
19991022,3.9,0.097
19991029,4.69,0.097
19991105,1.42,0.09
19991112,1.81,0.09
19991119,2.26,0.09
19991126,-0.2,0.09
19991203,1.31,0.109
19991210,-0.14,0.109
19991217,0.12,0.109
19991223,2.99,0.109
19991231,1.23,0.109
20000107,-2.49,0.103
20000114,2.07,0.103
20000121,0.02,0.103
20000128,-5.71,0.103
20000204,4.46,0.108
20000211,-1.45,0.108
20000218,-1.89,0.108
20000225,0.29,0.108
20000303,6.46,0.117
20000310,-0.33,0.117
20000317,1.76,0.117
20000324,3.12,0.117
20000331,-3.29,0.117
20000407,0,0.115
20000414,-13.74,0.115
20000420,6.13,0.115
20000428,2.29,0.115
20000505,-1.35,0.126
20000512,-2.05,0.126
20000519,-1.5,0.126
20000526,-3.05,0.126
20000602,9.26,0.099
20000609,-0.65,0.099
20000616,-0.17,0.099
20000623,-1.15,0.099
20000630,1.2,0.099
20000707,1.59,0.12
20000714,2.77,0.12
20000721,-2.41,0.12
20000728,-5.4,0.12
20000804,3.23,0.126
20000811,0.46,0.126
20000818,1.42,0.126
20000825,1.24,0.126
20000901,1.91,0.127
20000908,-2.25,0.127
20000915,-1.88,0.127
20000922,-1.11,0.127
20000929,-0.71,0.127
20001006,-3.73,0.14
20001013,-2.67,0.14
20001020,1.94,0.14
20001027,-1.73,0.14
20001103,4.07,0.127
20001110,-5.48,0.127
20001117,-0.39,0.127
20001124,-2.63,0.127
20001201,-2.72,0.126
20001208,5.3,0.126
20001215,-4.76,0.126
20001222,-1.14,0.126
20001229,1.53,0.126
20010105,-2.67,0.134
20010112,2.59,0.134
20010119,1.63,0.134
20010126,0.97,0.134
20010202,-0.71,0.094
20010209,-2.73,0.094
20010216,-0.86,0.094
20010223,-4.57,0.094
20010302,-1.28,0.104
20010309,-0.51,0.104
20010316,-6.91,0.104
20010323,-0.87,0.104
20010330,1.51,0.104
20010406,-3.24,0.098
20010412,5.26,0.098
20010420,5.2,0.098
20010427,0.68,0.098
20010504,1.58,0.081
20010511,-1.75,0.081
20010518,3.72,0.081
20010525,-0.67,0.081
20010601,-1.55,0.07
20010608,0.51,0.07
20010615,-4.37,0.07
20010622,0.6,0.07
20010629,0.86,0.07
20010706,-3.18,0.075
20010713,1.86,0.075
20010720,-0.65,0.075
20010727,-0.49,0.075
20010803,0.69,0.077
20010810,-2.3,0.077
20010817,-2.25,0.077
20010824,1.7,0.077
20010831,-4,0.077
20010907,-4.35,0.069
20010910,0.32,0.069
20010921,-11.95,0.069
20010928,7.43,0.069
20011005,2.92,0.056
20011012,2.18,0.056
20011019,-1.54,0.056
20011026,2.92,0.056
20011102,-1.68,0.044
20011109,2.79,0.044
20011116,1.88,0.044
20011123,1.02,0.044
20011130,-0.64,0.044
20011207,2.02,0.037
20011214,-2.87,0.037
20011221,1.96,0.037
20011228,1.62,0.037
20020104,1.05,0.035
20020111,-2.14,0.035
20020118,-1.83,0.035
20020125,0.58,0.035
20020201,-0.85,0.032
20020208,-2.34,0.032
20020215,0.66,0.032
20020222,-1.41,0.032
20020301,3.79,0.033
20020308,3.15,0.033
20020315,0.09,0.033
